,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
176,"40.04721949495898,-75.15659506609606",104315,,False,0.0,0.0014738533025464014,7328.0,4,3.8345396155874035e-05
177,"40.04497393261564,-75.15187340050636",101799,3.0,False,0.0,0.002772991697203756,14112.0,5,4.911639603532451e-05
178,"40.04151266900233,-75.1522561078695",146070,,False,1186.331924513896,0.002333132240461109,13120.0,3,2.0538098172109262e-05
179,"40.027288929073954,-75.1571083911013",305122,3.8333333333333335,False,444.352191640296,0.010978221901493421,5856.0,3,9.83213272068222e-06
180,"40.023504885412784,-75.15521498851042",80157,,False,1104.932332226606,0.011135275686195534,7552.0,3,3.742655039485011e-05
181,"40.02400430059792,-75.15141396891278",204373,,False,2034.82023972909,0.0066246045901483565,7776.0,6,2.935808546138678e-05
182,"40.0261674794633,-75.14896745243121",101880,2.5,False,65.2281297786678,0.007339461970770151,7616.0,0,0.0
183,"40.03264606154362,-75.14393405350332",161305,2.75,False,0.0,0.003976157369997507,15297.79,0,0.0
184,"40.02367951809778,-75.14696520315407",99836,3.8333333333333335,False,843.781365102124,0.004781498488809225,8864.0,5,5.008213470090949e-05
185,"40.02993115450278,-75.14082436619351",69892,,False,0.0,0.006601823256830762,11424.0,1,1.4307789160418932e-05
186,"40.0272169434062,-75.14385454767324",68707,,False,0.0,0.007857542869316149,8000.0,4,5.821823103904988e-05
187,"40.02810507704397,-75.14593251794838",88188,2.9166666666666665,False,0.0,0.008469691061902759,8640.0,4,4.5357645031069986e-05
188,"40.0269111055792,-75.14148992524461",68915,,False,0.0,0.007807997958115196,7248.0,7,0.00010157440325038091
189,"40.03007420551374,-75.1431354701633",62916,,False,0.0,0.007435806038310465,9472.0,1,1.5894208150549938e-05
190,"40.02483955102156,-75.13813526333215",157884,,False,0.0,0.006335660819269205,6688.0,0,0.0
191,"40.02940457572932,-75.13801980966672",94790,3.5,False,1680.729758051677,0.006477017459372289,8800.0,5,5.274818018778352e-05
192,"40.02734507895793,-75.13755326918091",82187,,False,550.458230637052,0.008410790850158698,7712.0,2,2.4334748804555465e-05
193,"40.025112038239136,-75.13052699756324",89319,,False,0.0,0.007318772349523119,9888.0,3,3.35874785879824e-05
194,"40.02686871435779,-75.13053330176196",76217,4.125,False,0.0,0.008102666723420596,10592.0,4,5.2481729797814135e-05
195,"40.023241224912006,-75.1435094770468",214613,,False,1236.243086693157,0.003047835524891947,7232.0,5,2.329774990331434e-05
